,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.923,0.882,0.854,0.830,0.812,0.677,0.938,0.062,0.779,0.751
DCC_bivariate_loop,,,0.961,0.946,0.920,0.907,0.889,0.735,0.958,0.360,0.849,0.836
SW_cross_validated,,,0.991,0.979,0.964,0.950,0.770,0.516,0.960,-0.060,0.853,0.769
SW_15,,,0.911,0.919,0.902,0.914,0.905,0.753,0.917,0.416,0.671,0.812
SW_30,,,0.962,0.964,0.953,0.949,0.941,0.823,0.951,0.424,0.769,0.859
SW_60,,,0.985,0.980,0.962,0.931,0.840,0.782,0.962,0.235,0.830,0.834
SW_120,,,0.985,0.951,0.668,-0.453,-0.692,0.267,0.950,-0.070,0.857,0.385
sFC,,,,,,,,0.000,,,,0.000
