,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_joint,nan,-26.7168,-,0.0000,0.0256,0.0000,0.0000,0.1942,0.0000,0.0000
DCC_bivariate_loop,nan,-8.8962,17.8808,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,nan,-21.5823,4.0745,-12.9237,-,0.0000,0.0000,1.,0.0000,0.0000
SW_15,nan,-50.255,-40.802,-44.4753,-37.0119,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-31.9918,-11.3373,-24.2183,-12.8738,25.6063,-,0.0000,1.,1.
SW_60,nan,-22.1539,3.162,-13.5591,-0.7591,36.1645,12.0569,-,0.0000,0.0000
SW_120,nan,-25.9391,-7.4854,-18.9356,-9.4017,17.7428,-0.1551,-8.8202,-,1.
sFC,nan,-33.7582,-12.5194,-25.6902,-13.4039,33.4433,2.1226,-12.4252,1.4913,-
