,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,1.,0.0000,0.0000,1.,0.0682,0.0000
DCC_joint,nan,-12.419,-,0.0003,0.0000,1.,0.0007,0.0000,0.0003,0.0000
DCC_bivariate_loop,nan,-7.0833,6.1453,-,0.0005,0.0001,1.,0.0169,1.,0.0000
SW_cross_validated,nan,-1.7457,11.7197,5.9411,-,0.0000,0.0004,1.,0.7013,0.0000
SW_15,nan,-12.8027,-0.6442,-6.6913,-12.126,-,0.0002,0.0000,0.0001,0.0000
SW_30,nan,-7.0818,5.7554,-0.243,-5.9631,6.3006,-,0.0136,1.,0.0000
SW_60,nan,-2.3669,9.6455,4.2628,-0.9202,10.0895,4.3604,-,1.,0.0000
SW_120,nan,-3.635,6.087,1.5088,-2.565,6.5361,1.659,-1.731,-,0.0000
sFC,nan,-62.5867,-35.7154,-53.7576,-72.2994,-33.336,-49.8683,-52.5341,-33.6681,-
