,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.06,1.03,9.96,37.40,18.94,12.33,9.34,1.40
DCC_joint,,1.06,,1.71,8.28,34.24,17.16,10.48,7.92,0.08
DCC_bivariate_loop,,1.03,1.71,,7.20,24.04,13.70,8.58,7.21,1.91
SW_cross_validated,,9.96,8.28,7.20,,30.54,11.17,2.46,0.64,10.64
SW_15,,37.40,34.24,24.04,30.54,,14.42,28.72,25.46,44.39
SW_30,,18.94,17.16,13.70,11.17,14.42,,9.28,9.40,20.60
SW_60,,12.33,10.48,8.58,2.46,28.72,9.28,,1.45,13.64
SW_120,,9.34,7.92,7.21,0.64,25.46,9.40,1.45,,9.53
sFC,,1.40,0.08,1.91,10.64,44.39,20.60,13.64,9.53,
