,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.031,0.015,0.013,0.016,0.025,0.232,0.009,0.061,0.037,0.003,0.014,0.041
DCC_joint,0.025,0.013,0.033,0.037,0.027,0.030,0.018,0.012,0.020,0.002,0.017,0.021
DCC_bivariate_loop,0.030,0.013,0.020,0.023,0.037,0.041,0.023,0.023,0.026,0.009,0.022,0.024
SW_cross_validated,0.030,0.010,0.013,0.040,0.047,0.076,0.143,0.056,0.014,0.006,0.015,0.041
SW_15,0.028,0.022,0.024,0.024,0.031,0.026,0.025,0.027,0.032,0.019,0.015,0.025
SW_30,0.033,0.009,0.014,0.029,0.023,0.025,0.022,0.022,0.020,0.022,0.018,0.022
SW_60,0.037,0.007,0.014,0.023,0.019,0.018,0.017,0.019,0.012,0.014,0.019,0.018
SW_120,0.040,0.011,0.019,0.026,0.015,0.009,0.010,0.015,0.011,0.009,0.029,0.018
sFC,0.024,0.015,0.003,0.003,0.006,0.003,0.005,0.003,0.003,0.002,0.003,0.006
