,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.6666,0.0003,0.0207,0.0001,0.0000,0.0000,0.0906,0.0725
DCC_joint,,0.6666,,0.0000,0.0007,0.0000,0.0000,0.0000,0.0003,0.0000
DCC_bivariate_loop,,0.0003,0.0000,,0.1841,0.1697,0.0002,0.0747,0.0000,0.0000
SW_cross_validated,,0.0207,0.0007,0.1841,,0.0453,0.0013,0.0303,0.0000,0.0000
SW_15,,0.0001,0.0000,0.1697,0.0453,,0.0152,0.8863,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0002,0.0013,0.0152,,0.0063,0.0000,0.0000
SW_60,,0.0000,0.0000,0.0747,0.0303,0.8863,0.0063,,0.0000,0.0000
SW_120,,0.0906,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,,0.7929
sFC,,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7929,
