,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,7.01,6.51,3.00,5.13,3.66,2.02,5.73,66.27
DCC_joint,,7.01,,2.45,5.50,2.69,5.01,5.82,2.97,18.82
DCC_bivariate_loop,,6.51,2.45,,4.25,0.49,3.51,4.70,0.70,35.84
SW_cross_validated,,3.00,5.50,4.25,,3.15,0.80,0.79,3.44,63.27
SW_15,,5.13,2.69,0.49,3.15,,2.54,3.59,0.14,30.62
SW_30,,3.66,5.01,3.51,0.80,2.54,,1.51,2.72,57.05
SW_60,,2.02,5.82,4.70,0.79,3.59,1.51,,3.92,56.91
SW_120,,5.73,2.97,0.70,3.44,0.14,2.72,3.92,,37.23
sFC,,66.27,18.82,35.84,63.27,30.62,57.05,56.91,37.23,
