,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.001,0.0005,0.0624,0.0000,0.0000,0.0000
DCC_joint,nan,-27.8876,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-10.1908,12.378,-,0.4985,0.0089,0.0000,1.,0.0000,0.0000
SW_cross_validated,nan,-5.5695,13.5812,2.7265,-,1.,0.1554,1.,0.0000,0.0000
SW_15,nan,-5.9119,19.1814,4.5524,1.04,-,0.3633,0.0155,0.0000,0.0000
SW_30,nan,-3.675,25.4488,7.5932,3.2632,2.8742,-,0.0000,0.0000,0.0000
SW_60,nan,-12.4162,19.0252,1.4987,-1.9735,-4.3011,-8.9326,-,0.0000,0.0000
SW_120,nan,-49.6893,-13.7796,-24.7363,-23.5766,-35.1343,-48.3542,-43.1275,-,0.0000
sFC,nan,-68.0487,-26.7604,-34.6059,-31.2242,-48.0305,-68.5733,-66.8703,-19.7002,-
