,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.60,1.41,0.60,0.17,1.06,0.47,1.24,22.19
DCC_joint,,1.60,,0.10,3.69,2.02,3.93,3.64,0.85,36.98
DCC_bivariate_loop,,1.41,0.10,,2.95,1.76,3.30,2.86,0.57,28.85
SW_cross_validated,,0.60,3.69,2.95,,0.45,0.86,0.28,4.06,59.29
SW_15,,0.17,2.02,1.76,0.45,,0.97,0.30,1.68,26.30
SW_30,,1.06,3.93,3.30,0.86,0.97,,1.12,4.09,43.20
SW_60,,0.47,3.64,2.86,0.28,0.30,1.12,,4.13,68.41
SW_120,,1.24,0.85,0.57,4.06,1.68,4.09,4.13,,71.05
sFC,,22.19,36.98,28.85,59.29,26.30,43.20,68.41,71.05,
