,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.2034e-03,5.5036e-03,1.9850e-01,7.0849e-01,2.9272e-02,3.0288e-01,1.2500e-02,1.0371e-20
DCC_joint,,2.2034e-03,,8.2162e-01,1.5866e-07,2.7137e-04,6.1662e-08,1.9214e-07,7.2015e-02,1.1034e-24
DCC_bivariate_loop,,5.5036e-03,8.2162e-01,,3.4507e-06,9.6209e-04,7.7281e-07,5.0893e-06,2.1698e-01,9.4486e-23
SW_cross_validated,,1.9850e-01,1.5866e-07,3.4507e-06,,3.3223e-01,7.1383e-02,5.3893e-01,3.8609e-08,2.2789e-28
SW_15,,7.0849e-01,2.7137e-04,9.6209e-04,3.3223e-01,,4.3257e-02,5.0757e-01,1.4090e-03,4.9809e-22
SW_30,,2.9272e-02,6.1662e-08,7.7281e-07,7.1383e-02,4.3257e-02,,2.2091e-02,3.4534e-08,6.7522e-26
SW_60,,3.0288e-01,1.9214e-07,5.0893e-06,5.3893e-01,5.0757e-01,2.2091e-02,,2.9438e-08,1.7399e-29
SW_120,,1.2500e-02,7.2015e-02,2.1698e-01,3.8609e-08,1.4090e-03,3.4534e-08,2.9438e-08,,8.7920e-30
sFC,,1.0371e-20,1.1034e-24,9.4486e-23,2.2789e-28,4.9809e-22,6.7522e-26,1.7399e-29,8.7920e-30,
