,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.14,-2.04,9.62,47.82,26.84,12.74,9.95,3.97
DCC_joint,,3.14,,-5.37,9.24,63.48,34.63,13.34,9.01,1.18
DCC_bivariate_loop,,-2.04,-5.37,,11.32,46.82,27.29,14.21,11.34,6.14
SW_cross_validated,,9.62,9.24,11.32,,49.59,22.34,4.33,3.38,-8.33
SW_15,,47.82,63.48,46.82,49.59,,-30.62,-42.49,-27.27,-63.52
SW_30,,26.84,34.63,27.29,22.34,-30.62,,-16.40,-9.94,-34.16
SW_60,,12.74,13.34,14.21,4.33,-42.49,-16.40,,0.50,-12.54
SW_120,,9.95,9.01,11.34,3.38,-27.27,-9.94,0.50,,-8.43
sFC,,3.97,1.18,6.14,-8.33,-63.52,-34.16,-12.54,-8.43,
