,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.52,3.47,4.76,28.16,19.28,12.51,7.35,2.44
DCC_joint,,2.52,,1.51,3.42,34.62,23.06,13.49,6.40,0.00
DCC_bivariate_loop,,3.47,1.51,,2.26,28.50,18.22,10.28,4.79,1.46
SW_cross_validated,,4.76,3.42,2.26,,17.37,10.00,4.81,1.69,3.36
SW_15,,28.16,34.62,28.50,17.37,,12.48,19.68,18.08,32.99
SW_30,,19.28,23.06,18.22,10.00,12.48,,8.18,9.45,21.88
SW_60,,12.51,13.49,10.28,4.81,19.68,8.18,,3.35,12.87
SW_120,,7.35,6.40,4.79,1.69,18.08,9.45,3.35,,6.24
sFC,,2.44,0.00,1.46,3.36,32.99,21.88,12.87,6.24,
