,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.24,-5.03,-2.92,-4.26,-6.68,-5.65,1.25,1.77
DCC_joint,,0.24,,-12.44,-4.43,-9.94,-16.94,-13.70,3.24,7.24
DCC_bivariate_loop,,-5.03,-12.44,,1.41,1.25,-3.09,-1.19,14.07,17.53
SW_cross_validated,,-2.92,-4.43,1.41,,-0.65,-3.13,-2.08,5.46,6.16
SW_15,,-4.26,-9.94,1.25,-0.65,,-4.20,-2.36,11.59,14.22
SW_30,,-6.68,-16.94,-3.09,-3.13,-4.20,,1.83,18.39,22.93
SW_60,,-5.65,-13.70,-1.19,-2.08,-2.36,1.83,,15.26,18.80
SW_120,,1.25,3.24,14.07,5.46,11.59,18.39,15.26,,1.91
sFC,,1.77,7.24,17.53,6.16,14.22,22.93,18.80,1.91,
