,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-2.03,-1.76,8.76,16.96,12.57,8.73,6.17,-3.34
DCC_joint,,-2.03,,0.28,14.01,21.94,18.23,13.87,9.71,-1.81
DCC_bivariate_loop,,-1.76,0.28,,13.14,21.20,17.32,13.03,9.19,-1.99
SW_cross_validated,,8.76,14.01,13.14,,10.76,4.90,0.03,-1.96,-16.62
SW_15,,16.96,21.94,21.20,10.76,,-6.36,-10.67,-11.47,-23.93
SW_30,,12.57,18.23,17.32,4.90,-6.36,,-4.83,-6.21,-20.76
SW_60,,8.73,13.87,13.03,0.03,-10.67,-4.83,,-1.97,-16.42
SW_120,,6.17,9.71,9.19,-1.96,-11.47,-6.21,-1.97,,-11.49
sFC,,-3.34,-1.81,-1.99,-16.62,-23.93,-20.76,-16.42,-11.49,
