,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,-1.31,-4.64,5.98,8.71,2.21,1.82,6.87,-2.67
DCC_joint,,-1.31,,-4.03,6.65,8.96,2.41,2.10,7.35,-1.08
DCC_bivariate_loop,,-4.64,-4.03,,7.99,9.96,3.56,3.59,8.66,3.75
SW_cross_validated,,5.98,6.65,7.99,,6.20,0.38,-0.60,2.15,-7.42
SW_15,,8.71,8.96,9.96,6.20,,-3.85,-5.32,-4.71,-9.17
SW_30,,2.21,2.41,3.56,0.38,-3.85,,-0.70,0.62,-2.55
SW_60,,1.82,2.10,3.59,-0.60,-5.32,-0.70,,1.84,-2.30
SW_120,,6.87,7.35,8.66,2.15,-4.71,0.62,1.84,,-7.85
sFC,,-2.67,-1.08,3.75,-7.42,-9.17,-2.55,-2.30,-7.85,
