,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0010,0.0191,0.0033,0.0000,0.0000,0.0000,0.0001,0.6266
DCC_joint,nan,5.5541,-,0.1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069
DCC_bivariate_loop,nan,4.2062,-3.2137,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.987
SW_cross_validated,nan,-5.0056,-11.8863,-10.6896,-,0.0000,0.0000,0.0144,1.,0.0000
SW_15,nan,-30.4273,-84.639,-90.5019,-22.4402,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-18.3034,-57.3441,-60.335,-10.7879,36.0146,-,0.0000,0.0000,0.0000
SW_60,nan,-11.5686,-41.3264,-42.3957,-4.3324,55.9335,20.5818,-,0.0114,0.0000
SW_120,nan,-6.8867,-17.8137,-16.4315,-0.9911,29.8051,13.5183,4.4402,-,0.0000
sFC,nan,2.6186,-4.6703,-2.4002,8.7287,59.3219,38.0697,25.9745,12.847,-
