,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.65,0.51,1.04,1.84,1.41,1.29,1.23,0.18
DCC_joint,,0.65,,0.33,2.79,5.67,4.46,2.78,2.52,0.79
DCC_bivariate_loop,,0.51,0.33,,2.57,5.30,4.14,2.60,2.35,0.55
SW_cross_validated,,1.04,2.79,2.57,,1.04,0.40,0.42,0.38,1.78
SW_15,,1.84,5.67,5.30,1.04,,0.85,0.38,0.35,3.44
SW_30,,1.41,4.46,4.14,0.40,0.85,,0.14,0.12,2.65
SW_60,,1.29,2.78,2.60,0.42,0.38,0.14,,0.01,1.97
SW_120,,1.23,2.52,2.35,0.38,0.35,0.12,0.01,,1.81
sFC,,0.18,0.79,0.55,1.78,3.44,2.65,1.97,1.81,
