,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.40,1.01,0.01,0.55,1.26,1.03,0.28,7.26
DCC_joint,,2.40,,3.91,2.52,3.46,4.10,3.59,2.83,3.86
DCC_bivariate_loop,,1.01,3.91,,1.10,0.65,0.38,0.19,0.75,13.50
SW_cross_validated,,0.01,2.52,1.10,,0.61,1.37,1.11,0.31,8.01
SW_15,,0.55,3.46,0.65,0.61,,1.00,0.70,0.24,12.65
SW_30,,1.26,4.10,0.38,1.37,1.00,,0.12,1.03,13.05
SW_60,,1.03,3.59,0.19,1.11,0.70,0.12,,0.80,9.86
SW_120,,0.28,2.83,0.75,0.31,0.24,1.03,0.80,,8.55
sFC,,7.26,3.86,13.50,8.01,12.65,13.05,9.86,8.55,
