,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.027,0.019,0.000,0.000,0.000,0.000,0.000,0.026
DCC_joint,,0.027,,0.919,0.190,0.000,0.000,0.000,0.014,0.742
DCC_bivariate_loop,,0.019,0.919,,0.221,0.000,0.000,0.000,0.016,0.654
SW_cross_validated,,0.000,0.190,0.221,,0.000,0.000,0.000,0.073,0.055
SW_15,,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
SW_30,,0.000,0.000,0.000,0.000,0.000,,0.001,0.000,0.000
SW_60,,0.000,0.000,0.000,0.000,0.000,0.001,,0.148,0.000
SW_120,,0.000,0.014,0.016,0.073,0.000,0.000,0.148,,0.004
sFC,,0.026,0.742,0.654,0.055,0.000,0.000,0.000,0.004,
