,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.42,2.82,6.65,32.01,19.79,13.61,7.65,2.09
DCC_joint,,1.42,,2.15,7.88,45.50,26.43,18.19,7.94,1.10
DCC_bivariate_loop,,2.82,2.15,,4.91,38.07,21.73,14.02,6.27,0.97
SW_cross_validated,,6.65,7.88,4.91,,35.03,17.96,9.65,3.19,6.00
SW_15,,32.01,45.50,38.07,35.03,,14.86,25.16,18.67,39.64
SW_30,,19.79,26.43,21.73,17.96,14.86,,8.82,8.52,22.97
SW_60,,13.61,18.19,14.02,9.65,25.16,8.82,,2.84,15.24
SW_120,,7.65,7.94,6.27,3.19,18.67,8.52,2.84,,6.95
sFC,,2.09,1.10,0.97,6.00,39.64,22.97,15.24,6.95,
