,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0010,0.0067,0.0002,0.0000,0.0073,0.0454,0.0000,0.0205
DCC_joint,,0.0010,,0.1632,0.0000,0.0000,0.0002,0.0005,0.0000,0.1565
DCC_bivariate_loop,,0.0067,0.1632,,0.0000,0.0000,0.0002,0.0007,0.0000,0.0761
SW_cross_validated,,0.0002,0.0000,0.0000,,0.0000,0.5490,0.4479,0.0060,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0024,0.0000
SW_30,,0.0073,0.0002,0.0002,0.5490,0.0000,,0.3022,0.0742,0.0005
SW_60,,0.0454,0.0005,0.0007,0.4479,0.0000,0.3022,,0.0052,0.0021
SW_120,,0.0000,0.0000,0.0000,0.0060,0.0024,0.0742,0.0052,,0.0000
sFC,,0.0205,0.1565,0.0761,0.0000,0.0000,0.0005,0.0021,0.0000,
