,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_joint,nan,-0.2356,-,1.,0.0000,0.0000,0.0000,0.0000,0.0000,1.
DCC_bivariate_loop,nan,0.0197,0.3042,-,0.0000,0.0000,0.0000,0.0000,0.0000,1.
SW_cross_validated,nan,-18.2634,-21.818,-20.175,-,0.0000,0.0000,0.0000,0.0134,0.0000
SW_15,nan,-73.2404,-95.0919,-83.7143,-50.5021,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-54.6158,-79.7654,-65.5673,-29.3573,34.8484,-,0.0000,0.0000,0.0000
SW_60,nan,-35.8154,-51.7698,-42.8739,-11.5774,56.5194,29.1709,-,0.0192,0.0000
SW_120,nan,-20.2408,-22.9447,-21.7623,-4.3662,37.6991,18.5464,4.2035,-,0.0000
sFC,nan,0.0101,0.2969,-0.0112,20.3671,84.883,66.8963,43.7202,21.9075,-
