,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.5578e-01,8.6090e-04,9.7941e-15,2.1877e-24,4.1334e-21,1.1374e-17,1.4618e-14,4.0570e-01
DCC_joint,,4.5578e-01,,4.7430e-03,1.7582e-14,2.3783e-24,4.9894e-21,1.5915e-17,2.3162e-14,8.2872e-01
DCC_bivariate_loop,,8.6090e-04,4.7430e-03,,2.0659e-13,2.6560e-24,9.0166e-21,5.8090e-17,1.5911e-13,2.6307e-02
SW_cross_validated,,9.7941e-15,1.7582e-14,2.0659e-13,,7.5328e-24,9.2288e-19,4.0436e-12,5.6311e-06,1.5992e-12
SW_15,,2.1877e-24,2.3783e-24,2.6560e-24,7.5328e-24,,4.7140e-17,4.6949e-20,3.6744e-19,2.2365e-22
SW_30,,4.1334e-21,4.9894e-21,9.0166e-21,9.2288e-19,4.7140e-17,,1.0937e-12,1.8830e-13,3.5656e-19
SW_60,,1.1374e-17,1.5915e-17,5.8090e-17,4.0436e-12,4.6949e-20,1.0937e-12,,3.5644e-05,6.9594e-16
SW_120,,1.4618e-14,2.3162e-14,1.5911e-13,5.6311e-06,3.6744e-19,1.8830e-13,3.5644e-05,,3.5171e-13
sFC,,4.0570e-01,8.2872e-01,2.6307e-02,1.5992e-12,2.2365e-22,3.5656e-19,6.9594e-16,3.5171e-13,
