,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,11.23,0.29,11.45,59.72,40.94,27.31,16.30,17.43
DCC_joint,,11.23,,-16.15,4.32,88.86,60.05,33.61,9.81,12.27
DCC_bivariate_loop,,0.29,-16.15,,13.23,85.31,61.14,41.40,21.00,25.72
SW_cross_validated,,11.45,4.32,13.23,,40.33,22.43,9.83,2.12,1.13
SW_15,,59.72,88.86,85.31,40.33,,-38.87,-67.80,-54.36,-81.46
SW_30,,40.94,60.05,61.14,22.43,-38.87,,-32.50,-29.76,-50.42
SW_60,,27.31,33.61,41.40,9.83,-67.80,-32.50,,-11.17,-21.81
SW_120,,16.30,9.81,21.00,2.12,-54.36,-29.76,-11.17,,-1.87
sFC,,17.43,12.27,25.72,1.13,-81.46,-50.42,-21.81,-1.87,
