,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.033,0.030,0.043,0.039,0.043,0.078,0.111,0.065,0.047,0.043,0.042,0.052
DCC_joint,0.048,0.049,0.101,0.107,0.111,0.113,0.114,0.076,0.121,0.055,0.066,0.087
DCC_bivariate_loop,0.062,0.060,0.070,0.065,0.073,0.076,0.080,0.071,0.068,0.064,0.065,0.069
SW_cross_validated,0.080,0.078,0.098,0.108,0.126,0.143,0.125,0.103,0.093,0.082,0.083,0.102
SW_15,0.266,0.259,0.260,0.259,0.260,0.262,0.261,0.261,0.260,0.260,0.262,0.261
SW_30,0.185,0.181,0.183,0.179,0.182,0.183,0.184,0.184,0.181,0.181,0.183,0.182
SW_60,0.134,0.129,0.134,0.130,0.137,0.144,0.152,0.136,0.133,0.132,0.134,0.136
SW_120,0.103,0.101,0.110,0.116,0.140,0.162,0.165,0.121,0.111,0.110,0.109,0.123
sFC,0.048,0.049,0.120,0.119,0.118,0.118,0.119,0.076,0.133,0.055,0.067,0.093
