,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.015,0.029,0.049,0.038,0.065,0.230,0.008,0.034,0.027,0.005,0.018,0.047
DCC_joint,0.021,0.019,0.038,0.031,0.019,0.012,0.023,0.011,0.018,0.003,0.018,0.019
DCC_bivariate_loop,0.025,0.025,0.028,0.023,0.018,0.023,0.034,0.018,0.015,0.008,0.028,0.022
SW_cross_validated,0.015,0.015,0.027,0.069,0.087,0.006,0.007,0.018,0.039,0.011,0.022,0.029
SW_15,0.027,0.038,0.032,0.024,0.032,0.032,0.041,0.021,0.033,0.029,0.032,0.031
SW_30,0.031,0.038,0.028,0.025,0.028,0.023,0.038,0.013,0.036,0.029,0.025,0.028
SW_60,0.023,0.035,0.025,0.025,0.027,0.012,0.019,0.009,0.021,0.018,0.032,0.022
SW_120,0.024,0.031,0.026,0.025,0.021,0.008,0.009,0.008,0.022,0.014,0.023,0.019
sFC,0.019,0.011,0.003,0.004,0.002,0.004,0.005,0.003,0.001,0.003,0.004,0.005
