,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.82,0.28,0.52,5.99,3.21,2.48,1.43,0.66
DCC_joint,,0.82,,0.48,1.39,6.77,3.91,3.38,1.98,0.18
DCC_bivariate_loop,,0.28,0.48,,0.77,5.87,3.27,2.56,1.57,0.32
SW_cross_validated,,0.52,1.39,0.77,,5.86,2.93,2.11,1.14,1.26
SW_15,,5.99,6.77,5.87,5.86,,2.18,4.16,2.84,6.81
SW_30,,3.21,3.91,3.27,2.93,2.18,,1.34,1.03,3.86
SW_60,,2.48,3.38,2.56,2.11,4.16,1.34,,0.12,3.33
SW_120,,1.43,1.98,1.57,1.14,2.84,1.03,0.12,,1.90
sFC,,0.66,0.18,0.32,1.26,6.81,3.86,3.33,1.90,
