,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,1.,1.,1.,0.0000,0.0000,0.0011,0.1805,1.
DCC_joint,nan,1.8275,-,1.,0.2170,0.0000,0.0000,0.0000,0.0115,1.
DCC_bivariate_loop,nan,0.6255,-1.0625,-,1.,0.0000,0.0000,0.0007,0.0878,1.
SW_cross_validated,nan,-1.1493,-3.1113,-1.7157,-,0.0000,0.0001,0.0062,0.7379,0.4190
SW_15,nan,-13.3862,-15.1423,-13.1153,-13.1025,-,0.0045,0.0000,0.0002,0.0000
SW_30,nan,-7.1567,-8.7381,-7.3064,-6.5414,4.8635,-,0.2817,1.,0.0000
SW_60,nan,-5.5298,-7.5541,-5.7294,-4.7196,9.291,2.9916,-,1.,0.0000
SW_120,nan,-3.1952,-4.4357,-3.5211,-2.5406,6.3615,2.3067,0.2618,-,0.0177
sFC,nan,1.4904,-0.4062,0.7238,2.8078,15.2363,8.6241,7.4397,4.2402,-
