,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0133,0.0000,0.1714,1.,0.0001,0.0000
DCC_joint,nan,-22.2461,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,nan,-8.3172,15.325,-,1.,1.,0.0022,0.0004,0.6900,0.0000
SW_cross_validated,nan,-4.3681,14.1676,1.8666,-,1.,1.,0.2752,1.,0.0000
SW_15,nan,-7.9897,15.6914,0.3735,-1.5911,-,0.0046,0.0007,1.,0.0000
SW_30,nan,-3.2189,19.7613,5.1983,2.0081,4.8495,-,1.,0.148,0.0000
SW_60,nan,-1.3898,19.4181,6.049,3.0024,5.7408,1.4626,-,0.0120,0.0000
SW_120,nan,-6.8471,18.6134,2.5727,-0.1598,2.1686,-3.2855,-4.4149,-,0.0000
sFC,nan,-68.0853,-20.0114,-54.48,-36.8762,-55.6629,-64.3396,-53.4388,-76.8509,-
