,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.5223e-14,1.4025e-07,3.7076e-04,2.4962e-07,4.7603e-03,1.8153e-01,2.0850e-06,3.6006e-23
DCC_joint,,1.5223e-14,,9.0001e-12,3.3377e-11,6.0504e-12,1.1850e-13,1.6027e-13,3.3173e-13,9.5379e-14
DCC_bivariate_loop,,1.4025e-07,9.0001e-12,,7.8334e-02,7.1312e-01,6.0559e-05,1.0196e-05,1.9167e-02,1.9544e-21
SW_cross_validated,,3.7076e-04,3.3377e-11,7.8334e-02,,1.2899e-01,5.9880e-02,7.6452e-03,8.7483e-01,2.0676e-18
SW_15,,2.4962e-07,6.0504e-12,7.1312e-01,1.2899e-01,,1.2873e-04,1.9245e-05,4.3759e-02,1.3305e-21
SW_30,,4.7603e-03,1.1850e-13,6.0559e-05,5.9880e-02,1.2873e-04,,1.6083e-01,4.1105e-03,9.9312e-23
SW_60,,1.8153e-01,1.6027e-13,1.0196e-05,7.6452e-03,1.9245e-05,1.6083e-01,,3.3429e-04,2.7604e-21
SW_120,,2.0850e-06,3.3173e-13,1.9167e-02,8.7483e-01,4.3759e-02,4.1105e-03,3.3429e-04,,4.0996e-24
sFC,,3.6006e-23,9.5379e-14,1.9544e-21,2.0676e-18,1.3305e-21,9.9312e-23,2.7604e-21,4.0996e-24,
