,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,5.00,8.57,14.22,63.99,44.05,30.40,19.85,4.94
DCC_joint,,5.00,,4.21,11.61,75.75,51.31,34.17,18.77,0.02
DCC_bivariate_loop,,8.57,4.21,,8.08,80.49,53.82,34.74,16.40,-4.06
SW_cross_validated,,14.22,11.61,8.08,,83.13,53.78,31.97,10.58,-11.16
SW_15,,63.99,75.75,80.49,83.13,,-34.76,-65.30,-63.38,-73.45
SW_30,,44.05,51.31,53.82,53.78,-34.76,,-30.53,-35.22,-49.51
SW_60,,30.40,34.17,34.74,31.97,-65.30,-30.53,,-13.93,-32.73
SW_120,,19.85,18.77,16.40,10.58,-63.38,-35.22,-13.93,,-18.19
sFC,,4.94,0.02,-4.06,-11.16,-73.45,-49.51,-32.73,-18.19,
