,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.13,-7.96,3.21,-6.06,-11.06,-9.78,0.98,1.86
DCC_joint,,1.13,,-16.60,3.98,-12.02,-26.35,-27.48,-0.46,2.07
DCC_bivariate_loop,,-7.96,-16.60,,16.99,2.33,-4.38,-1.90,17.30,20.35
SW_cross_validated,,3.21,3.98,16.99,,-13.29,-23.85,-23.39,-4.54,-3.29
SW_15,,-6.06,-12.02,2.33,-13.29,,-6.54,-4.49,12.31,14.46
SW_30,,-11.06,-26.35,-4.38,-23.85,-6.54,,3.73,28.56,35.00
SW_60,,-9.78,-27.48,-1.90,-23.39,-4.49,3.73,,31.21,42.86
SW_120,,0.98,-0.46,17.30,-4.54,12.31,28.56,31.21,,3.33
sFC,,1.86,2.07,20.35,-3.29,14.46,35.00,42.86,3.33,
