,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.007,0.012,0.020,0.015,0.057,0.239,0.009,0.013,0.040,0.006,0.017,0.039
DCC_joint,0.019,0.010,0.047,0.025,0.015,0.022,0.014,0.006,0.029,0.008,0.007,0.018
DCC_bivariate_loop,0.019,0.012,0.022,0.028,0.031,0.033,0.032,0.018,0.023,0.013,0.025,0.023
SW_cross_validated,0.018,0.010,0.028,0.059,0.091,0.175,0.009,0.008,0.023,0.007,0.017,0.041
SW_15,0.025,0.016,0.023,0.024,0.036,0.023,0.029,0.028,0.025,0.017,0.036,0.026
SW_30,0.016,0.014,0.016,0.027,0.029,0.025,0.022,0.022,0.021,0.010,0.032,0.021
SW_60,0.021,0.012,0.015,0.018,0.023,0.024,0.016,0.027,0.013,0.012,0.029,0.019
SW_120,0.024,0.025,0.027,0.017,0.011,0.010,0.014,0.013,0.007,0.012,0.029,0.017
sFC,0.021,0.009,0.005,0.001,0.002,0.004,0.003,0.004,0.001,0.007,0.003,0.006
