,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.002,0.009,0.012,0.012,0.032,0.073,0.003,0.004,0.013,0.003,0.009,0.016
DCC_joint,0.006,0.010,0.014,0.008,0.005,0.007,0.005,0.002,0.009,0.003,0.004,0.007
DCC_bivariate_loop,0.006,0.010,0.008,0.009,0.010,0.010,0.010,0.007,0.007,0.005,0.008,0.008
SW_cross_validated,0.005,0.008,0.009,0.021,0.030,0.054,0.002,0.003,0.008,0.002,0.009,0.014
SW_15,0.008,0.012,0.010,0.010,0.011,0.016,0.010,0.010,0.009,0.011,0.009,0.010
SW_30,0.004,0.011,0.009,0.009,0.010,0.012,0.010,0.010,0.009,0.007,0.009,0.009
SW_60,0.007,0.009,0.009,0.007,0.009,0.007,0.005,0.011,0.007,0.007,0.010,0.008
SW_120,0.007,0.010,0.014,0.006,0.004,0.003,0.005,0.004,0.005,0.005,0.013,0.007
sFC,0.007,0.003,0.002,0.000,0.001,0.001,0.001,0.001,0.000,0.002,0.001,0.002
