,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.008,0.011,0.012,0.012,0.009,0.082,0.004,0.067,0.090,0.033
DCC_bivariate_loop,,,0.003,0.004,0.006,0.007,0.007,0.014,0.003,0.034,0.014,0.010
SW_cross_validated,,,0.001,0.004,0.016,0.231,0.031,0.028,0.004,0.020,0.031,0.041
SW_15,,,0.005,0.007,0.007,0.009,0.006,0.015,0.004,0.037,0.031,0.014
SW_30,,,0.003,0.004,0.005,0.006,0.005,0.017,0.004,0.034,0.034,0.013
SW_60,,,0.002,0.002,0.006,0.007,0.013,0.026,0.003,0.032,0.032,0.014
SW_120,,,0.003,0.004,0.019,0.031,0.024,0.025,0.002,0.039,0.026,0.019
sFC,,,,,,,,,,,,
