,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.019,0.859,0.218,0.000,0.000,0.000,0.007,0.017
DCC_joint,,0.019,,0.029,0.001,0.000,0.000,0.000,0.000,1.000
DCC_bivariate_loop,,0.859,0.029,,0.159,0.000,0.000,0.000,0.006,0.026
SW_cross_validated,,0.218,0.001,0.159,,0.000,0.000,0.000,0.029,0.000
SW_15,,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
SW_30,,0.000,0.000,0.000,0.000,0.000,,0.001,0.007,0.000
SW_60,,0.000,0.000,0.000,0.000,0.000,0.001,,0.552,0.000
SW_120,,0.007,0.000,0.006,0.029,0.000,0.007,0.552,,0.000
sFC,,0.017,1.000,0.026,0.000,0.000,0.000,0.000,0.000,
