,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0116,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.1062
DCC_joint,nan,-4.4333,-,1.,0.1076,0.0000,0.0000,0.0000,0.0019,1.
DCC_bivariate_loop,nan,-4.462,-0.0093,-,0.1081,0.0000,0.0000,0.0000,0.0019,1.
SW_cross_validated,nan,-9.2778,-3.4295,-3.4274,-,0.0000,0.0000,0.0008,0.9701,0.0719
SW_15,nan,-30.4571,-22.2946,-22.3203,-19.7522,-,0.0000,0.0000,0.0000,0.0000
SW_30,nan,-29.513,-17.0637,-17.0949,-13.8034,9.2929,-,0.0002,0.0000,0.0000
SW_60,nan,-14.9864,-8.6815,-8.6885,-5.6613,13.6415,6.4895,-,0.5964,0.0000
SW_120,nan,-9.9522,-5.2736,-5.2738,-2.4086,15.3442,8.9113,2.642,-,0.0015
sFC,nan,-3.4355,0.4068,0.4162,3.611,21.5585,16.2199,8.564,5.3668,-
