,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,20.79,10.84,7.55,8.79,4.91,3.55,8.12,95.27
DCC_joint,,20.79,,-14.05,-14.60,-15.14,-18.83,-19.71,-14.56,18.42
DCC_bivariate_loop,,10.84,-14.05,,-1.83,-1.83,-7.24,-8.77,-1.56,68.93
SW_cross_validated,,7.55,-14.60,-1.83,,0.20,-4.17,-5.39,0.29,58.43
SW_15,,8.79,-15.14,-1.83,0.20,,-5.06,-6.52,0.12,70.53
SW_30,,4.91,-18.83,-7.24,-4.17,-5.06,,-1.69,4.67,107.72
SW_60,,3.55,-19.71,-8.77,-5.39,-6.52,-1.69,,5.96,117.34
SW_120,,8.12,-14.56,-1.56,0.29,0.12,4.67,5.96,,60.69
sFC,,95.27,18.42,68.93,58.43,70.53,107.72,117.34,60.69,
