,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.6202e-04,5.3145e-03,1.9788e-13,4.5538e-28,3.5450e-23,9.0899e-19,1.4574e-13,8.2328e-05
DCC_joint,,1.6202e-04,,4.0783e-01,1.3058e-10,1.1897e-26,1.1332e-21,7.0600e-17,6.7848e-12,8.4890e-01
DCC_bivariate_loop,,5.3145e-03,4.0783e-01,,3.6594e-10,2.5419e-25,1.3561e-20,5.2850e-16,1.0870e-11,3.1765e-01
SW_cross_validated,,1.9788e-13,1.3058e-10,3.6594e-10,,1.0379e-25,1.1981e-19,1.5185e-12,3.8610e-06,1.2375e-10
SW_15,,4.5538e-28,1.1897e-26,2.5419e-25,1.0379e-25,,2.5816e-21,1.7973e-24,4.5710e-21,7.7932e-27
SW_30,,3.5450e-23,1.1332e-21,1.3561e-20,1.1981e-19,2.5816e-21,,4.8101e-16,2.3369e-14,8.2182e-22
SW_60,,9.0899e-19,7.0600e-17,5.2850e-16,1.5185e-12,1.7973e-24,4.8101e-16,,1.4848e-04,5.5756e-17
SW_120,,1.4574e-13,6.7848e-12,1.0870e-11,3.8610e-06,4.5710e-21,2.3369e-14,1.4848e-04,,6.7716e-12
sFC,,8.2328e-05,8.4890e-01,3.1765e-01,1.2375e-10,7.7932e-27,8.2182e-22,5.5756e-17,6.7716e-12,
