,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,33.99,11.37,20.85,102.35,64.11,47.91,25.04,45.98
DCC_joint,,33.99,,-18.16,-2.56,102.63,48.27,23.81,2.80,19.86
DCC_bivariate_loop,,11.37,-18.16,,10.48,86.09,49.70,31.89,14.73,29.35
SW_cross_validated,,20.85,-2.56,10.48,,63.19,32.15,14.52,4.02,11.74
SW_15,,102.35,102.63,86.09,63.19,,-40.41,-80.59,-57.28,-90.97
SW_30,,64.11,48.27,49.70,32.15,-40.41,,-29.59,-26.88,-35.97
SW_60,,47.91,23.81,31.89,14.52,-80.59,-29.59,,-9.02,-6.40
SW_120,,25.04,2.80,14.73,4.02,-57.28,-26.88,-9.02,,6.15
sFC,,45.98,19.86,29.35,11.74,-90.97,-35.97,-6.40,6.15,
