,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,11.83,3.37,5.77,32.29,20.34,12.58,6.85,14.52
DCC_joint,,11.83,,11.36,3.10,16.78,5.02,2.26,4.13,1.78
DCC_bivariate_loop,,3.37,11.36,,4.22,43.68,25.90,13.79,5.23,18.73
SW_cross_validated,,5.77,3.10,4.22,,14.87,6.89,1.94,0.24,2.46
SW_15,,32.29,16.78,43.68,14.87,,18.70,28.90,20.15,35.45
SW_30,,20.34,5.02,25.90,6.89,18.70,,11.22,9.57,13.17
SW_60,,12.58,2.26,13.79,1.94,28.90,11.22,,2.94,1.17
SW_120,,6.85,4.13,5.23,0.24,20.15,9.57,2.94,,3.76
sFC,,14.52,1.78,18.73,2.46,35.45,13.17,1.17,3.76,
