,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0000,0.0012,0.1316,0.0000,0.0000,0.0358,0.1139,0.0000
DCC_joint,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,,0.0012,0.0000,,0.0139,0.0000,0.0426,0.0956,0.1385,0.0000
SW_cross_validated,,0.1316,0.0000,0.0139,,0.0000,0.0002,0.4025,0.6758,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0426,0.0002,0.0000,,0.0018,0.0072,0.0000
SW_60,,0.0358,0.0000,0.0956,0.4025,0.0000,0.0018,,0.8209,0.0000
SW_120,,0.1139,0.0000,0.1385,0.6758,0.0000,0.0072,0.8209,,0.0000
sFC,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
