,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.5914e-02,2.3905e-01,2.8432e-15,4.7577e-26,8.1920e-23,1.2552e-18,2.2753e-11,5.4763e-02
DCC_joint,,2.5914e-02,,4.0782e-01,4.2545e-14,1.3103e-25,3.2079e-22,7.8909e-18,1.0764e-10,7.0540e-01
DCC_bivariate_loop,,2.3905e-01,4.0782e-01,,3.6295e-13,1.6161e-24,4.5929e-21,7.8697e-17,1.1586e-10,6.0835e-01
SW_cross_validated,,2.8432e-15,4.2545e-14,3.6295e-13,,1.0278e-24,4.7130e-20,3.3317e-12,1.3619e-03,2.4870e-14
SW_15,,4.7577e-26,1.3103e-25,1.6161e-24,1.0278e-24,,6.6354e-19,1.1892e-22,1.3827e-17,1.0326e-25
SW_30,,8.1920e-23,3.2079e-22,4.5929e-21,4.7130e-20,6.6354e-19,,5.0817e-16,9.1963e-12,2.3650e-22
SW_60,,1.2552e-18,7.8909e-18,7.8697e-17,3.3317e-12,1.1892e-22,5.0817e-16,,4.6823e-03,5.3927e-18
SW_120,,2.2753e-11,1.0764e-10,1.1586e-10,1.3619e-03,1.3827e-17,9.1963e-12,4.6823e-03,,8.1781e-11
sFC,,5.4763e-02,7.0540e-01,6.0835e-01,2.4870e-14,1.0326e-25,2.3650e-22,5.3927e-18,8.1781e-11,
