,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0312,0.2883,0.0006,0.0000,0.0000,0.0001,0.0000,0.0083
DCC_joint,,0.0312,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DCC_bivariate_loop,,0.2883,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,,0.0006,0.0000,0.0000,,0.0000,0.0000,0.0011,0.0001,0.0000
SW_15,,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
SW_60,,0.0001,0.0000,0.0000,0.0011,0.0000,0.0000,,0.0336,0.0000
SW_120,,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0336,,0.0000
sFC,,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
