,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.5140e-15,3.3316e-01,1.8851e-10,4.1487e-25,1.0405e-22,4.4151e-18,3.5665e-12,3.1104e-19
DCC_joint,,1.5140e-15,,7.1359e-15,1.3903e-03,1.4012e-18,5.9434e-12,5.2010e-01,3.2349e-06,6.5628e-04
DCC_bivariate_loop,,3.3316e-01,7.1359e-15,,5.5736e-10,3.0986e-24,1.6035e-21,5.6986e-17,1.8970e-11,1.5781e-17
SW_cross_validated,,1.8851e-10,1.3903e-03,5.5736e-10,,7.3804e-17,1.8640e-11,1.5397e-03,2.1291e-01,9.5038e-02
SW_15,,4.1487e-25,1.4012e-18,3.0986e-24,7.3804e-17,,1.0781e-17,4.7842e-21,8.7067e-20,2.9798e-23
SW_30,,1.0405e-22,5.9434e-12,1.6035e-21,1.8640e-11,1.0781e-17,,4.7019e-15,6.6516e-15,9.3637e-19
SW_60,,4.4151e-18,5.2010e-01,5.6986e-17,1.5397e-03,4.7842e-21,4.7019e-15,,8.2322e-07,4.1513e-05
SW_120,,3.5665e-12,3.2349e-06,1.8970e-11,2.1291e-01,8.7067e-20,6.6516e-15,8.2322e-07,,1.1267e-04
sFC,,3.1104e-19,6.5628e-04,1.5781e-17,9.5038e-02,2.9798e-23,9.3637e-19,4.1513e-05,1.1267e-04,
