,cross_validated_window_length
sub-A00023510,49.0
sub-A00027544,47.0
sub-A00028177,59.0
sub-A00028185,39.0
sub-A00028207,59.0
sub-A00028287,45.0
sub-A00028352,57.0
sub-A00028429,59.0
sub-A00028606,51.0
sub-A00028656,47.0
sub-A00028694,59.0
sub-A00028766,53.0
sub-A00028844,59.0
sub-A00029076,39.0
sub-A00029092,59.0
sub-A00029126,55.0
sub-A00029127,41.0
sub-A00029231,51.0
sub-A00029303,45.0
sub-A00029304,49.0
sub-A00029979,35.0
sub-A00030913,59.0
sub-A00030989,45.0
sub-A00031216,55.0
sub-A00031217,43.0
sub-A00031272,51.0
sub-A00031459,59.0
sub-A00031549,59.0
sub-A00031625,37.0
sub-A00031871,53.0
sub-A00032007,47.0
sub-A00033180,41.0
sub-A00033231,39.0
sub-A00033232,53.0
sub-A00033247,31.0
sub-A00033248,51.0
sub-A00033640,59.0
sub-A00033643,59.0
sub-A00033747,53.0
sub-A00034193,53.0
sub-A00034385,53.0
sub-A00034854,35.0
sub-A00035036,49.0
sub-A00035363,41.0
sub-A00035553,59.0
sub-A00035608,53.0
sub-A00035840,45.0
sub-A00035879,41.0
sub-A00035881,41.0
sub-A00035926,53.0
sub-A00035943,41.0
sub-A00035960,51.0
sub-A00037081,27.0
sub-A00037112,41.0
sub-A00037117,29.0
sub-A00037118,47.0
sub-A00037122,55.0
sub-A00037123,45.0
sub-A00037160,49.0
sub-A00037170,37.0
sub-A00037198,49.0
sub-A00037266,35.0
sub-A00037378,43.0
sub-A00037387,47.0
sub-A00037396,59.0
sub-A00037445,51.0
sub-A00037476,37.0
sub-A00037511,43.0
sub-A00037531,59.0
sub-A00037647,45.0
sub-A00037725,49.0
sub-A00037877,39.0
sub-A00038158,43.0
sub-A00038159,51.0
sub-A00038189,59.0
sub-A00038285,49.0
sub-A00038522,57.0
sub-A00038605,53.0
sub-A00038616,49.0
sub-A00038642,53.0
sub-A00038718,31.0
sub-A00038731,37.0
sub-A00038831,45.0
sub-A00038832,43.0
sub-A00038998,59.0
sub-A00039084,39.0
sub-A00039143,49.0
sub-A00039159,55.0
sub-A00039218,47.0
sub-A00039431,59.0
sub-A00039463,47.0
sub-A00039488,53.0
sub-A00039636,53.0
sub-A00039686,49.0
sub-A00039755,33.0
sub-A00039819,47.0
sub-A00040151,51.0
sub-A00040193,55.0
sub-A00040226,45.0
sub-A00040301,57.0
sub-A00040524,53.0
sub-A00040543,55.0
sub-A00040573,59.0
sub-A00040623,43.0
sub-A00040628,39.0
sub-A00040640,43.0
sub-A00040740,33.0
sub-A00040827,43.0
sub-A00040890,31.0
sub-A00040915,35.0
sub-A00040944,33.0
sub-A00043299,59.0
sub-A00043384,55.0
sub-A00043462,59.0
sub-A00043466,59.0
sub-A00043509,59.0
sub-A00043520,57.0
sub-A00043649,47.0
sub-A00043677,57.0
sub-A00043704,55.0
sub-A00043722,29.0
sub-A00043998,45.0
sub-A00044012,41.0
sub-A00044130,39.0
sub-A00044131,39.0
sub-A00044291,35.0
sub-A00044307,39.0
sub-A00045590,43.0
sub-A00050795,59.0
sub-A00050940,39.0
sub-A00051063,49.0
sub-A00051064,47.0
sub-A00051477,41.0
sub-A00051514,57.0
sub-A00051539,39.0
sub-A00051603,47.0
sub-A00051638,33.0
sub-A00051658,39.0
sub-A00051679,57.0
sub-A00051726,37.0
sub-A00051774,55.0
sub-A00052125,59.0
sub-A00052126,49.0
sub-A00052197,31.0
sub-A00052235,49.0
sub-A00052307,59.0
sub-A00052340,59.0
sub-A00052500,49.0
sub-A00052502,59.0
sub-A00053473,29.0
sub-A00053474,37.0
sub-A00053475,39.0
sub-A00053546,53.0
sub-A00053576,55.0
sub-A00053577,43.0
sub-A00053578,43.0
sub-A00053850,59.0
sub-A00053851,27.0
sub-A00053854,59.0
sub-A00054019,47.0
sub-A00054173,45.0
sub-A00054441,59.0
sub-A00054504,41.0
sub-A00054532,59.0
sub-A00054533,59.0
sub-A00054534,35.0
sub-A00055121,45.0
sub-A00055215,55.0
sub-A00055373,43.0
sub-A00055446,55.0
sub-A00055542,43.0
sub-A00055738,53.0
sub-A00055806,57.0
sub-A00056097,41.0
sub-A00056098,37.0
sub-A00056627,47.0
sub-A00056898,59.0
sub-A00056919,41.0
sub-A00056949,37.0
sub-A00057005,59.0
sub-A00057035,59.0
sub-A00057182,45.0
sub-A00057183,41.0
sub-A00057203,37.0
sub-A00057235,51.0
sub-A00057372,57.0
sub-A00057406,59.0
sub-A00057444,33.0
sub-A00057786,57.0
sub-A00057808,59.0
sub-A00058214,39.0
sub-A00058515,55.0
sub-A00058621,43.0
sub-A00058667,45.0
sub-A00058999,37.0
sub-A00059074,47.0
sub-A00059428,33.0
sub-A00059527,43.0
sub-A00059756,43.0
sub-A00059911,51.0
sub-A00059990,35.0
sub-A00060006,47.0
sub-A00060093,57.0
sub-A00060169,43.0
sub-A00060259,47.0
sub-A00060279,59.0
sub-A00060302,59.0
sub-A00060372,35.0
sub-A00060471,37.0
sub-A00060480,59.0
sub-A00060516,51.0
sub-A00060576,37.0
sub-A00060581,31.0
sub-A00060582,49.0
sub-A00060628,45.0
sub-A00060629,35.0
sub-A00060630,57.0
sub-A00060632,31.0
sub-A00060662,39.0
sub-A00060773,49.0
sub-A00060848,31.0
sub-A00060925,57.0
sub-A00061284,49.0
sub-A00061387,57.0
sub-A00061598,35.0
sub-A00061727,51.0
sub-A00061881,51.0
sub-A00061882,37.0
sub-A00062248,35.0
sub-A00062288,53.0
sub-A00062351,43.0
sub-A00062411,31.0
sub-A00062917,57.0
sub-A00062934,41.0
sub-A00063103,37.0
sub-A00063326,33.0
sub-A00063368,53.0
sub-A00063450,45.0
sub-A00063589,39.0
sub-A00064580,59.0
sub-A00065197,43.0
sub-A00065574,43.0
sub-A00065617,57.0
sub-A00065790,47.0
sub-A00066087,57.0
sub-A00066091,51.0
sub-A00066153,59.0
sub-A00066232,43.0
sub-A00066236,35.0
sub-A00066246,59.0
sub-A00066319,43.0
sub-A00066735,51.0
sub-A00066781,39.0
sub-A00066812,51.0
sub-A00066822,53.0
sub-A00066827,47.0
sub-A00066926,31.0
sub-A00072203,53.0
sub-A00073600,57.0
sub-A00073975,53.0
sub-A00074000,41.0
sub-A00074425,49.0
sub-A00074609,35.0
sub-A00074780,59.0
sub-A00075156,57.0
sub-A00075412,59.0
sub-A00075721,37.0
sub-A00075896,41.0
sub-A00075964,39.0
sub-A00077109,59.0
sub-A00077182,31.0
sub-A00077204,31.0
sub-A00077637,37.0
sub-A00077733,39.0
sub-A00077734,43.0
sub-A00077758,37.0
sub-A00078238,51.0
sub-A00079353,39.0
sub-A00079747,51.0
sub-A00079907,43.0
sub-A00080447,35.0
sub-A00080452,59.0
sub-A00080453,59.0
sub-A00081112,41.0
sub-A00081938,39.0
sub-A00082554,39.0
